Gene_ID	6_am	10_am	2_pm	6_pm	10_pm	2_am	6_am2	10_am2	2_pm2	6_pm2	10_pm2	2_am2	6_am3	10_am3	2_pm3	6_pm3	10_pm3	2_am3	6_am4	10_am4	2_pm4	6_pm4	10_pm4	2_am4	6_am5
Gene24	76.0188	39.772	59.6106	57.4236	42.1119	72.6153	87.6265	46.6922	30.7224	46.3284	34.976	101.0679	93.0996	24.5685	28.2875	22.8459	25.5024	63.4032	53.6321	26.4309	30.8616	11.2717	2.5592	20.4182	7.686
Gene25	60.4252	39.12	79.002	37.5462	37.9527	45.2133	49.4832	48.9515	26.5056	29.0688	27.8715	38.3361	45.1392	17.1235	29.419	17.4064	27.9312	63.4032	48.3997	27.822	39.2784	12.2964	3.656	12.0653	8.784
Gene26	85.7648	29.992	31.6008	33.129	45.2313	71.7019	98.9664	34.6426	16.8672	18.168	26.232	169.6082	71.9406	23.0795	11.315	14.1427	20.6448	60.9168	66.7131	25.0398	16.8336	8.1976	2.1936	14.8496	15.921
Gene27	29.238	15.648	43.8102	280.4922	65.5074	11.8742	14.4326	9.7903	4.8192	96.2904	39.8945	20.9106	9.8742	3.7225	12.4465	78.3288	60.72	13.6752	10.4648	0	18.704	57.3832	9.8712	9.281	2.745
Gene28	34.111	22.82	35.91	22.086	20.796	40.6463	80.4102	57.2356	40.9632	60.8628	28.9645	121.9785	45.1392	14.1455	16.9725	16.3185	41.2896	37.296	81.1022	18.0843	16.8336	13.3211	1.0968	0.9281	5.49
Gene29	6.8222	0	0	0	0	26.4886	28.8652	10.5434	2.4096	0.9084	0.5465	116.17	33.8544	2.978	4.526	2.1758	6.072	604.1952	26.162	0	2.8056	9.2223	0.7312	21.3463	6.588
Gene30	49.7046	37.816	48.8376	55.9512	44.7114	42.4731	54.6377	19.5806	15.06	27.252	56.2895	133.5955	33.8544	21.5905	26.0245	36.9886	26.7168	36.0528	51.0159	15.3021	33.6672	25.6175	7.312	12.0653	17.019
Gene31	98.4346	54.116	52.4286	21.3498	74.8656	77.639	39.1742	34.6426	9.6384	12.7176	34.4295	82.4807	33.8544	27.5465	20.367	5.4395	44.9328	58.4304	27.4701	47.2974	32.732	3.0741	8.0432	27.843	15.921
Gene32	30.2126	33.904	40.2192	32.3928	19.7562	18.268	38.1433	42.9267	21.084	104.466	41.534	41.8212	29.6226	55.093	30.5505	52.2192	48.576	37.296	66.7131	48.6885	51.436	32.7904	9.8712	20.4182	11.529
Gene33	144.2408	80.848	114.912	19.1412	6.2388	31.969	54.6377	47.4453	32.5296	10.9008	14.209	44.1446	45.1392	41.692	58.838	16.3185	8.5008	12.432	24.8539	80.6838	73.8808	3.0741	2.5592	16.7058	14.274
Gene34	73.095	38.468	30.1644	7.362	57.7089	80.3792	48.4523	44.4329	28.9152	15.4428	27.325	171.9316	43.7286	15.6345	15.841	2.1758	15.7872	96.9696	53.6321	9.7377	9.352	5.1235	4.0216	21.3463	8.784
Gene35	47.7554	9.128	17.955	11.043	9.8781	18.7247	38.1433	9.0372	6.024	17.2596	24.5925	66.2169	36.6756	17.868	4.526	18.4943	12.144	58.4304	62.7888	18.0843	11.2224	9.2223	0.7312	8.3529	22.509
Gene36	2.9238	1.304	10.773	313.6212	37.9527	22.835	1.0309	0	2.4096	93.5652	55.1965	16.2638	1.4106	0.7445	3.3945	58.7466	80.1504	28.5936	0	2.7822	3.7408	54.3091	6.9464	4.6405	0
Gene37	34.111	21.516	44.5284	44.9082	56.6691	87.6864	77.3175	42.9267	28.3128	29.9772	42.0805	72.0254	36.6756	22.335	13.578	17.4064	25.5024	43.512	27.4701	15.3021	12.1576	8.1976	4.0216	3.7124	2.196
Gene38	31.1872	17.604	61.7652	133.2522	27.0348	31.5123	28.8652	28.6178	13.2528	79.0308	25.6855	38.3361	26.8014	11.1675	20.367	36.9886	29.1456	42.2688	18.3134	15.3021	16.8336	25.6175	4.0216	2.7843	4.392
Gene39	47.7554	36.512	45.9648	30.1842	39.5124	35.6226	52.5759	69.2852	31.3248	33.6108	38.8015	82.4807	62.0664	42.4365	44.1285	16.3185	36.432	31.08	45.7835	38.9508	29.9264	5.1235	4.0216	5.5686	9.333
Gene40	39.9586	24.776	27.2916	27.9756	43.6716	58.0009	41.236	27.1116	19.8792	35.4276	52.464	84.8041	35.265	13.401	12.4465	21.758	20.6448	37.296	32.7025	15.3021	17.7688	14.3458	4.7528	8.3529	5.49
Gene41	86.7394	16.952	13.6458	7.362	19.7562	64.8514	103.09	9.7903	4.2168	9.9924	13.6625	91.7743	60.6558	1.489	3.3945	7.6153	24.288	50.9712	66.7131	5.5644	6.5464	0	0.7312	22.2744	11.529
Gene42	111.1044	42.38	48.1194	15.4602	12.4776	34.7092	72.163	64.7666	34.9392	11.8092	9.2905	26.7191	67.7088	35.736	42.997	13.0548	10.9296	16.1616	44.4754	33.3864	26.1856	1.0247	0.3656	1.8562	21.96
Gene43	86.7394	39.12	36.6282	11.043	37.4328	63.0246	57.7304	12.8027	6.024	8.1756	14.7555	105.7147	60.6558	10.423	6.789	8.7032	14.5728	67.1328	47.0916	15.3021	11.2224	2.0494	1.828	16.7058	13.725
Gene44	2.9238	1.956	4.3092	253.989	95.1417	12.7876	3.0927	3.7655	0.6024	85.3896	38.255	23.234	7.053	2.2335	0	18.4943	69.2208	27.3504	2.6162	4.1733	1.8704	56.3585	7.6776	4.6405	0.549
Gene45	33.1364	11.736	35.91	23.5584	53.0298	62.1112	22.6798	15.062	18.6744	19.9848	51.9175	65.0552	26.8014	13.401	22.63	6.5274	43.7184	73.3488	24.8539	20.8665	16.8336	10.247	2.5592	17.6339	3.843
Gene46	46.7808	45.64	130.7124	25.0308	6.2388	35.1659	57.7304	40.6674	44.5776	35.4276	3.279	36.0127	32.4438	20.846	28.2875	10.879	2.4288	9.9456	34.0106	18.0843	25.2504	11.2717	0.3656	0.9281	4.392
Gene47	35.0856	34.556	69.6654	52.2702	11.4378	13.701	59.7922	29.3709	18.6744	47.2368	10.3835	41.8212	23.9802	23.824	27.156	43.516	9.7152	11.1888	30.0863	34.7775	28.9912	20.494	1.828	1.8562	8.235
Gene48	47.7554	37.164	62.4834	55.9512	55.6293	61.6545	44.3287	32.3833	17.4696	18.168	16.9415	77.8339	47.9604	24.5685	15.841	6.5274	19.4304	57.1872	34.0106	8.3466	15.8984	14.3458	1.4624	6.4967	3.294
Gene49	37.0348	28.688	99.8298	10.3068	1.0398	3.1969	15.4635	23.3461	16.2648	19.9848	3.279	5.8085	12.6954	34.9915	32.8135	23.9338	0	4.9728	6.5405	55.644	57.9824	15.3705	0	0.9281	4.941
Gene50	51.6538	24.776	53.865	31.6566	45.7512	57.5442	25.7725	25.6054	19.8792	23.6184	20.767	61.5701	18.3378	14.1455	10.1835	10.879	30.36	38.5392	11.7729	15.3021	18.704	6.1482	3.2904	18.562	6.039
